"","(Intercept)","ev_difference_z","abs_rel_val_diff_z","OEV_z","ORV_z","abs_gaze_diff_z"
"1",7.4119661716226,-0.113366010312648,-0.024210846673484,0.18316566043701,-0.068067542174004,-0.122886523575674
"2",7.33010855769337,0.0657702384466907,-0.00690069968139208,-0.117913294008003,-0.0359462409110538,-0.153361303634021
"3",6.91388054737055,-0.0235585348824529,-0.0673260133437402,0.0301428129106309,-0.0875367414267902,0.0677418007267098
"4",7.22013607656541,-0.0431187644921865,-0.0224083815023588,0.0791635378681968,-0.045834468217077,-0.233014622870889
"6",7.2928043178916,-0.00609785121568464,-0.143467771838654,0.039190441413728,-0.134005869588448,-0.0585690037734398
"7",6.45991169702294,-0.00770268575180055,-0.053409476794906,-0.0132070897956937,-0.0417541706303547,0.0313218508416013
"8",7.19460523228384,0.142058816667706,-0.0128576375806585,-0.0507441961768031,-0.0194742952201393,-0.0918979632253263
"9",7.12521472456191,0.0129130420816327,-0.0479574556342934,0.0112801813760104,-0.0339311030790023,-0.146912697091267
"10",7.29942325798661,0.0190622374222336,-0.0357968071622203,0.00773661149165174,-0.0636158697084291,-0.17956864334295
"11",5.76731752020886,-0.0410678766674762,-0.0828138379793763,0.000941365891061478,-0.0370479704623153,0.157247773840377
"12",7.55257505623393,-0.010999810275455,0.000949449010795286,-0.10219998700989,-0.0125616296014474,-0.128320252955669
"13",7.27968903879,0.0196338295358274,-0.0424585289288767,-0.0714906973693114,-0.05384944153748,-0.171940546384065
"14",6.91122330276734,0.00599819766589425,-0.058725636896802,-0.0272200100393974,-0.05807193571886,0.0417362179338587
"16",6.6946970672596,0.057290428651037,-0.0334978208543646,-0.0471795594103423,-0.0477114004391552,-0.071973365424306
"17",7.01149693348217,0.0130113215010777,-0.0128044705819798,-0.0447727152304832,-0.0658181670357241,-0.135851501425476
"18",7.42530413661169,-0.00499676653482725,-0.0967630465279224,0.0716954505402483,-0.093386284486487,-0.0709698834313288
"19",7.58398141641005,0.0454721818864805,-0.166522000697145,-0.0123333766696194,-0.0990816066222263,-0.0465386904379415
"20",7.32296278725336,0.0035243491687696,-0.0951194309938092,-0.0548745307759317,-0.0695472260624746,-0.0394863108804054
"22",7.08385767915929,0.0543855569750088,-0.147845714286032,-0.0407378038841932,-0.106900654342953,-0.0389277928701632
"23",7.1711644009965,0.0433452562178816,-0.136941729284645,-0.0278248459426561,-0.0582307337581757,-0.129858518643368
"24",7.04089639292511,-0.0237428426073157,0.0180920672446737,-0.0986510076990765,-0.036676856986566,-0.10608006925636
"25",7.17743995396788,-0.0379810271273095,0.00354524349158111,-0.0104430474960754,-0.0270292535554138,-0.0720662351526438
"26",7.59592662987429,0.042847061460173,-0.0497616171126633,-0.0700826307626676,-0.079472332550862,-0.165642416074897
"28",6.92195211862241,0.0481871873226495,-0.0268642092909209,-0.00234074101737866,-0.06350462151572,-0.0956751207052125
"29",7.29669797765707,0.0557807283299632,0.0381652291379677,-0.0906342636018631,-0.0148897845198772,-0.160458270610298
"31",6.97080286450584,0.021162496773048,-0.0575401193607804,0.0367253110550773,-0.0220979505628274,-0.18605021399598
"32",6.81760057465685,-0.00258672832766465,-0.0239461634079308,0.0143034573777794,-0.0476616746222831,-0.133821850056793
"33",6.85342777444987,-0.0473271091834322,0.0175571176648286,-0.0433073448260977,-0.0447899881668696,-0.0180585882600626
"34",6.59544907095041,-0.00249614189264543,-0.0642495691793533,0.0711432476503025,-0.0449138310450334,-0.0711408889000321
"35",6.85028421366333,-0.0418322978665601,-0.0405619826070308,0.0541903024397738,-0.0717089782617978,0.0609200367804837
"38",6.74597973567705,0.0257823353506172,-0.0855735662754674,0.014341320960765,-0.0861053102388069,-0.0829599056404736
"40",6.92029571152437,-0.0166064640392241,-0.029792421315422,-0.0373915278910257,-0.036775550860586,-0.084919461614416
"41",7.22386612996812,0.0102459202742848,0.0276661622174818,0.0615082080190215,-0.0621957355302111,-0.169121543008554
"42",6.99641938445359,-0.0431464142442277,-0.0308046411887994,-0.0841382021473001,-0.0357868229774965,-0.061526768565259
"43",6.20521694960473,0.0221977285728736,-0.0415738812639483,-0.00525976173027502,-0.0591717214181896,-0.0590062755685718
"44",6.98320212751075,-0.0783670896093754,0.0126288121143455,-0.0451708844365952,-0.0227706811262159,-0.0578627230980169
"45",7.44404119531308,0.00238390496949008,-0.0126435279368212,-0.00712197151909631,-0.0309822147290896,-0.218877330614646
"46",6.68958782144946,-0.00792562634307714,-0.0856156203988286,0.0434594996326457,-0.110898830168057,-0.0606754423805202
"47",6.78444809770711,-0.0262895255773451,-0.0336555065369567,0.00348280761486702,-0.0486423942441701,-0.0178130809578475
"48",7.03409235495562,-0.075895471509243,-0.0406799874620283,0.0960637549240101,-0.064253103479153,-0.0633341840989506
"49",7.44681949255286,0.024041913638415,-0.193134282664863,-0.0393424419712727,-0.0557959159027619,-0.0904668460386169
"50",6.98089622543315,-0.0235793679547001,-0.0875975182577703,0.0326546592770932,-0.01586763637815,-0.0203335614686376
"51",7.21160040297648,-0.0111236228495011,-0.0360656316829811,-0.0783248829955605,-0.0802652790764248,-0.0645375577745728
"52",6.79363759629558,-0.0131821803306407,-0.0591485845839468,-0.0170390184938073,-0.0575763300395176,-0.0123924370453389
"53",6.88484751668747,-0.0534130156278757,-0.0231568188262695,-0.00416351131815057,-0.0412177801883275,-0.0959754774431457
"54",7.41156354575219,0.00169960233791733,-0.137667527988054,0.0135225473072617,-0.0835113199065841,-0.120541262967471
"55",7.26728422518857,-0.00105333366525255,-0.0390913754273625,-0.108658050486169,-0.0212152430682536,-0.164344165258609
"56",6.51171391768388,-0.0459686759071558,-0.00445480769392888,-0.113212511526359,-0.00897681628994554,0.0218717717112512
"57",6.86757279513099,-0.0849927765575635,-0.000217627478131019,-0.0190067896746664,-0.0200237249032846,-0.0307003205009332
"58",6.65380143508873,-0.000190779944195037,-0.0875879694445902,0.0520698115598098,-0.0886668275620309,-0.0860924961735504
